Rule,Pattern,Rel_B_to_A,Rel_B_to_C,Rel_A_to_C,Rel_C_to_A,Count,Body_Count,Support,Confidence
"girlCousinOf(B,A) ∧ motherOf(B,C) → secondAuntOf(A,C) ∧ boyFirstCousinOnceRemovedOf(C,A)","A←[girlCousinOf]B→[motherOf]C ⇒ A↔[secondAuntOf,boyFirstCousinOnceRemovedOf]C",girlCousinOf,motherOf,secondAuntOf,boyFirstCousinOnceRemovedOf,39,150,0.002821792923811591,0.26
"secondAuntOf(B,A) ∧ motherOf(B,C) → girlSecondCousinOf(A,C) ∧ girlSecondCousinOf(C,A)","A←[secondAuntOf]B→[motherOf]C ⇒ A↔[girlSecondCousinOf,girlSecondCousinOf]C",secondAuntOf,motherOf,girlSecondCousinOf,girlSecondCousinOf,13,50,0.0009405976412705303,0.26
"secondAuntOf(B,A) ∧ motherOf(B,C) → boySecondCousinOf(A,C) ∧ boySecondCousinOf(C,A)","A←[secondAuntOf]B→[motherOf]C ⇒ A↔[boySecondCousinOf,boySecondCousinOf]C",secondAuntOf,motherOf,boySecondCousinOf,boySecondCousinOf,13,50,0.0009405976412705303,0.26
"brotherOf(B,A) ∧ brotherOf(B,C) → sisterOf(A,C) ∧ brotherOf(C,A)","A←[brotherOf]B→[brotherOf]C ⇒ A↔[sisterOf,brotherOf]C",brotherOf,brotherOf,sisterOf,brotherOf,112,431,0.008103610447869185,0.25986078886310904
"secondUncleOf(B,A) ∧ grandsonOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandmotherOf(C,A)","A←[secondUncleOf]B→[grandsonOf]C ⇒ A↔[greatGrandsonOf,greatGrandmotherOf]C",secondUncleOf,grandsonOf,greatGrandsonOf,greatGrandmotherOf,82,316,0.005933000506475653,0.25949367088607594
"secondUncleOf(B,A) ∧ grandsonOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[secondUncleOf]B→[grandsonOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",secondUncleOf,grandsonOf,greatGrandsonOf,greatGrandfatherOf,82,316,0.005933000506475653,0.25949367088607594
"boyCousinOf(B,A) ∧ sonOf(B,C) → nieceOf(A,C) ∧ uncleOf(C,A)","A←[boyCousinOf]B→[sonOf]C ⇒ A↔[nieceOf,uncleOf]C",boyCousinOf,sonOf,nieceOf,uncleOf,64,247,0.004630634541639534,0.2591093117408907
"sisterOf(B,A) ∧ granddaughterOf(B,C) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A←[sisterOf]B→[granddaughterOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",sisterOf,granddaughterOf,granddaughterOf,grandmotherOf,386,1494,0.02792851457926344,0.2583668005354752
"sisterOf(B,A) ∧ granddaughterOf(B,C) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A←[sisterOf]B→[granddaughterOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",sisterOf,granddaughterOf,granddaughterOf,grandfatherOf,386,1494,0.02792851457926344,0.2583668005354752
"sisterOf(B,A) ∧ girlCousinOf(B,C) → boyCousinOf(A,C) ∧ girlCousinOf(C,A)","A←[sisterOf]B→[girlCousinOf]C ⇒ A↔[boyCousinOf,girlCousinOf]C",sisterOf,girlCousinOf,boyCousinOf,girlCousinOf,198,769,0.014326025613197308,0.2574772431729519
"brotherOf(B,A) ∧ greatGrandsonOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandmotherOf(C,A)","A←[brotherOf]B→[greatGrandsonOf]C ⇒ A↔[greatGranddaughterOf,greatGrandmotherOf]C",brotherOf,greatGrandsonOf,greatGranddaughterOf,greatGrandmotherOf,225,874,0.016279574560451485,0.2574370709382151
"brotherOf(B,A) ∧ greatGrandsonOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[brotherOf]B→[greatGrandsonOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",brotherOf,greatGrandsonOf,greatGranddaughterOf,greatGrandfatherOf,225,874,0.016279574560451485,0.2574370709382151
"motherOf(B,A) ∧ motherOf(B,C) → brotherOf(A,C) ∧ brotherOf(C,A)","A←[motherOf]B→[motherOf]C ⇒ A↔[brotherOf,brotherOf]C",motherOf,motherOf,brotherOf,brotherOf,113,440,0.008175964112582302,0.25681818181818183
"fatherOf(B,A) ∧ fatherOf(B,C) → brotherOf(A,C) ∧ brotherOf(C,A)","A←[fatherOf]B→[fatherOf]C ⇒ A↔[brotherOf,brotherOf]C",fatherOf,fatherOf,brotherOf,brotherOf,113,440,0.008175964112582302,0.25681818181818183
"girlFirstCousinOnceRemovedOf(B,A) ∧ daughterOf(B,C) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A←[girlFirstCousinOnceRemovedOf]B→[daughterOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",girlFirstCousinOnceRemovedOf,daughterOf,girlCousinOf,boyCousinOf,29,113,0.002098256276680414,0.25663716814159293
"greatGranddaughterOf(B,A) ∧ nieceOf(B,C) → grandmotherOf(A,C) ∧ grandsonOf(C,A)","A←[greatGranddaughterOf]B→[nieceOf]C ⇒ A↔[grandmotherOf,grandsonOf]C",greatGranddaughterOf,nieceOf,grandmotherOf,grandsonOf,272,1060,0.01968019680196802,0.25660377358490566
"greatGranddaughterOf(B,A) ∧ nieceOf(B,C) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A←[greatGranddaughterOf]B→[nieceOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",greatGranddaughterOf,nieceOf,grandfatherOf,grandsonOf,272,1060,0.01968019680196802,0.25660377358490566
"girlCousinOf(B,A) ∧ greatGranddaughterOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[girlCousinOf]B→[greatGranddaughterOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",girlCousinOf,greatGranddaughterOf,greatGranddaughterOf,greatGrandfatherOf,236,920,0.017075464872295783,0.2565217391304348
"girlCousinOf(B,A) ∧ greatGranddaughterOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandmotherOf(C,A)","A←[girlCousinOf]B→[greatGranddaughterOf]C ⇒ A↔[greatGranddaughterOf,greatGrandmotherOf]C",girlCousinOf,greatGranddaughterOf,greatGranddaughterOf,greatGrandmotherOf,236,920,0.017075464872295783,0.2565217391304348
"motherOf(B,A) ∧ greatGrandmotherOf(B,C) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A←[motherOf]B→[greatGrandmotherOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",motherOf,greatGrandmotherOf,grandfatherOf,grandsonOf,139,543,0.010057159395123362,0.2559852670349908
"fatherOf(B,A) ∧ greatGrandfatherOf(B,C) → grandfatherOf(A,C) ∧ grandsonOf(C,A)","A←[fatherOf]B→[greatGrandfatherOf]C ⇒ A↔[grandfatherOf,grandsonOf]C",fatherOf,greatGrandfatherOf,grandfatherOf,grandsonOf,139,543,0.010057159395123362,0.2559852670349908
"brotherOf(B,A) ∧ fatherOf(B,C) → auntOf(A,C) ∧ nieceOf(C,A)","A←[brotherOf]B→[fatherOf]C ⇒ A↔[auntOf,nieceOf]C",brotherOf,fatherOf,auntOf,nieceOf,110,431,0.00795890311844295,0.2552204176334107
"sisterOf(B,A) ∧ girlFirstCousinOnceRemovedOf(B,C) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[sisterOf]B→[girlFirstCousinOnceRemovedOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",sisterOf,girlFirstCousinOnceRemovedOf,boyFirstCousinOnceRemovedOf,secondAuntOf,25,98,0.001808841617827943,0.25510204081632654
"nieceOf(B,A) ∧ nieceOf(B,C) → brotherOf(A,C) ∧ sisterOf(C,A)","A←[nieceOf]B→[nieceOf]C ⇒ A↔[brotherOf,sisterOf]C",nieceOf,nieceOf,brotherOf,sisterOf,96,377,0.006945951812459301,0.2546419098143236
"grandsonOf(B,A) ∧ nephewOf(B,C) → fatherOf(A,C) ∧ sonOf(C,A)","A←[grandsonOf]B→[nephewOf]C ⇒ A↔[fatherOf,sonOf]C",grandsonOf,nephewOf,fatherOf,sonOf,166,654,0.012010708342377541,0.25382262996941896
"girlFirstCousinOnceRemovedOf(B,A) ∧ nieceOf(B,C) → boyCousinOf(A,C) ∧ boyCousinOf(C,A)","A←[girlFirstCousinOnceRemovedOf]B→[nieceOf]C ⇒ A↔[boyCousinOf,boyCousinOf]C",girlFirstCousinOnceRemovedOf,nieceOf,boyCousinOf,boyCousinOf,62,245,0.004485927212213299,0.2530612244897959
"daughterOf(B,A) ∧ greatGranddaughterOf(B,C) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A←[daughterOf]B→[greatGranddaughterOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",daughterOf,greatGranddaughterOf,grandsonOf,grandmotherOf,101,400,0.0073077201360248895,0.2525
"daughterOf(B,A) ∧ greatGranddaughterOf(B,C) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A←[daughterOf]B→[greatGranddaughterOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",daughterOf,greatGranddaughterOf,grandsonOf,grandfatherOf,101,400,0.0073077201360248895,0.2525
"sisterOf(B,A) ∧ secondAuntOf(B,C) → secondUncleOf(A,C) ∧ girlFirstCousinOnceRemovedOf(C,A)","A←[sisterOf]B→[secondAuntOf]C ⇒ A↔[secondUncleOf,girlFirstCousinOnceRemovedOf]C",sisterOf,secondAuntOf,secondUncleOf,girlFirstCousinOnceRemovedOf,66,262,0.00477534187106577,0.25190839694656486
"girlFirstCousinOnceRemovedOf(B,A) ∧ greatGranddaughterOf(B,C) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A←[girlFirstCousinOnceRemovedOf]B→[greatGranddaughterOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",girlFirstCousinOnceRemovedOf,greatGranddaughterOf,granddaughterOf,grandmotherOf,77,306,0.0055712321829100644,0.25163398692810457
"girlFirstCousinOnceRemovedOf(B,A) ∧ greatGranddaughterOf(B,C) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A←[girlFirstCousinOnceRemovedOf]B→[greatGranddaughterOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",girlFirstCousinOnceRemovedOf,greatGranddaughterOf,granddaughterOf,grandfatherOf,77,306,0.0055712321829100644,0.25163398692810457
"sisterOf(B,A) ∧ motherOf(B,C) → auntOf(A,C) ∧ nieceOf(C,A)","A←[sisterOf]B→[motherOf]C ⇒ A↔[auntOf,nieceOf]C",sisterOf,motherOf,auntOf,nieceOf,116,461,0.008393025106721656,0.25162689804772237
"sisterOf(B,A) ∧ motherOf(B,C) → auntOf(A,C) ∧ nephewOf(C,A)","A←[sisterOf]B→[motherOf]C ⇒ A↔[auntOf,nephewOf]C",sisterOf,motherOf,auntOf,nephewOf,116,461,0.008393025106721656,0.25162689804772237
"secondUncleOf(B,A) ∧ fatherOf(B,C) → boySecondCousinOf(A,C) ∧ girlSecondCousinOf(C,A)","A←[secondUncleOf]B→[fatherOf]C ⇒ A↔[boySecondCousinOf,girlSecondCousinOf]C",secondUncleOf,fatherOf,boySecondCousinOf,girlSecondCousinOf,17,68,0.0012300123001230013,0.25
"sisterOf(B,A) ∧ girlCousinOf(B,C) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A←[sisterOf]B→[girlCousinOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",sisterOf,girlCousinOf,girlCousinOf,boyCousinOf,192,769,0.013891903624918602,0.24967490247074123
"girlFirstCousinOnceRemovedOf(B,A) ∧ greatGranddaughterOf(B,C) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A←[girlFirstCousinOnceRemovedOf]B→[greatGranddaughterOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",girlFirstCousinOnceRemovedOf,greatGranddaughterOf,grandsonOf,grandmotherOf,76,306,0.005498878518196947,0.24836601307189543
"girlFirstCousinOnceRemovedOf(B,A) ∧ greatGranddaughterOf(B,C) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A←[girlFirstCousinOnceRemovedOf]B→[greatGranddaughterOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",girlFirstCousinOnceRemovedOf,greatGranddaughterOf,grandsonOf,grandfatherOf,76,306,0.005498878518196947,0.24836601307189543
"daughterOf(B,A) ∧ greatGranddaughterOf(B,C) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A←[daughterOf]B→[greatGranddaughterOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",daughterOf,greatGranddaughterOf,granddaughterOf,grandmotherOf,99,400,0.007163012806598654,0.2475
"daughterOf(B,A) ∧ greatGranddaughterOf(B,C) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A←[daughterOf]B→[greatGranddaughterOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",daughterOf,greatGranddaughterOf,granddaughterOf,grandfatherOf,99,400,0.007163012806598654,0.2475
"sisterOf(B,A) ∧ girlFirstCousinOnceRemovedOf(B,C) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A←[sisterOf]B→[girlFirstCousinOnceRemovedOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondAuntOf]C",sisterOf,girlFirstCousinOnceRemovedOf,girlFirstCousinOnceRemovedOf,secondAuntOf,24,98,0.0017364879531148252,0.24489795918367346
"boyCousinOf(B,A) ∧ brotherOf(B,C) → boyCousinOf(A,C) ∧ girlCousinOf(C,A)","A←[boyCousinOf]B→[brotherOf]C ⇒ A↔[boyCousinOf,girlCousinOf]C",boyCousinOf,brotherOf,boyCousinOf,girlCousinOf,145,593,0.010491281383402069,0.24451939291736932
"greatAuntOf(B,A) ∧ motherOf(B,C) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A←[greatAuntOf]B→[motherOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondUncleOf]C",greatAuntOf,motherOf,girlFirstCousinOnceRemovedOf,secondUncleOf,39,160,0.002821792923811591,0.24375
"girlCousinOf(B,A) ∧ greatGranddaughterOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[girlCousinOf]B→[greatGranddaughterOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",girlCousinOf,greatGranddaughterOf,greatGrandsonOf,greatGrandfatherOf,224,920,0.01620722089573837,0.24347826086956523
"girlCousinOf(B,A) ∧ greatGranddaughterOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandmotherOf(C,A)","A←[girlCousinOf]B→[greatGranddaughterOf]C ⇒ A↔[greatGrandsonOf,greatGrandmotherOf]C",girlCousinOf,greatGranddaughterOf,greatGrandsonOf,greatGrandmotherOf,224,920,0.01620722089573837,0.24347826086956523
"greatGranddaughterOf(B,A) ∧ nieceOf(B,C) → grandmotherOf(A,C) ∧ granddaughterOf(C,A)","A←[greatGranddaughterOf]B→[nieceOf]C ⇒ A↔[grandmotherOf,granddaughterOf]C",greatGranddaughterOf,nieceOf,grandmotherOf,granddaughterOf,258,1060,0.01866724549598437,0.24339622641509434
"greatGranddaughterOf(B,A) ∧ nieceOf(B,C) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A←[greatGranddaughterOf]B→[nieceOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",greatGranddaughterOf,nieceOf,grandfatherOf,granddaughterOf,258,1060,0.01866724549598437,0.24339622641509434
"daughterOf(B,A) ∧ granddaughterOf(B,C) → sonOf(A,C) ∧ motherOf(C,A)","A←[daughterOf]B→[granddaughterOf]C ⇒ A↔[sonOf,motherOf]C",daughterOf,granddaughterOf,sonOf,motherOf,98,403,0.007090659141885536,0.24317617866004962
"brotherOf(B,A) ∧ greatGrandsonOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandmotherOf(C,A)","A←[brotherOf]B→[greatGrandsonOf]C ⇒ A↔[greatGrandsonOf,greatGrandmotherOf]C",brotherOf,greatGrandsonOf,greatGrandsonOf,greatGrandmotherOf,212,874,0.015338976919180956,0.2425629290617849
"brotherOf(B,A) ∧ greatGrandsonOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[brotherOf]B→[greatGrandsonOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",brotherOf,greatGrandsonOf,greatGrandsonOf,greatGrandfatherOf,212,874,0.015338976919180956,0.2425629290617849
"sisterOf(B,A) ∧ granddaughterOf(B,C) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A←[sisterOf]B→[granddaughterOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",sisterOf,granddaughterOf,grandsonOf,grandmotherOf,361,1494,0.026119672961435497,0.24163319946452477
"sisterOf(B,A) ∧ granddaughterOf(B,C) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A←[sisterOf]B→[granddaughterOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",sisterOf,granddaughterOf,grandsonOf,grandfatherOf,361,1494,0.026119672961435497,0.24163319946452477
"secondUncleOf(B,A) ∧ grandsonOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandmotherOf(C,A)","A←[secondUncleOf]B→[grandsonOf]C ⇒ A↔[greatGranddaughterOf,greatGrandmotherOf]C",secondUncleOf,grandsonOf,greatGranddaughterOf,greatGrandmotherOf,76,316,0.005498878518196947,0.24050632911392406
"secondUncleOf(B,A) ∧ grandsonOf(B,C) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[secondUncleOf]B→[grandsonOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",secondUncleOf,grandsonOf,greatGranddaughterOf,greatGrandfatherOf,76,316,0.005498878518196947,0.24050632911392406
"boyFirstCousinOnceRemovedOf(B,A) ∧ boyFirstCousinOnceRemovedOf(B,C) → sisterOf(A,C) ∧ brotherOf(C,A)","A←[boyFirstCousinOnceRemovedOf]B→[boyFirstCousinOnceRemovedOf]C ⇒ A↔[sisterOf,brotherOf]C",boyFirstCousinOnceRemovedOf,boyFirstCousinOnceRemovedOf,sisterOf,brotherOf,42,175,0.003038853917950944,0.24
"sonOf(B,A) ∧ grandsonOf(B,C) → sonOf(A,C) ∧ motherOf(C,A)","A←[sonOf]B→[grandsonOf]C ⇒ A↔[sonOf,motherOf]C",sonOf,grandsonOf,sonOf,motherOf,88,369,0.006367122494754359,0.23848238482384823
"boyCousinOf(B,A) ∧ boySecondCousinOf(B,C) → girlSecondCousinOf(A,C) ∧ girlSecondCousinOf(C,A)","A←[boyCousinOf]B→[boySecondCousinOf]C ⇒ A↔[girlSecondCousinOf,girlSecondCousinOf]C",boyCousinOf,boySecondCousinOf,girlSecondCousinOf,girlSecondCousinOf,5,21,0.0003617683235655886,0.23809523809523808
"uncleOf(B,A) ∧ grandfatherOf(B,C) → secondAuntOf(A,C) ∧ boyFirstCousinOnceRemovedOf(C,A)","A←[uncleOf]B→[grandfatherOf]C ⇒ A↔[secondAuntOf,boyFirstCousinOnceRemovedOf]C",uncleOf,grandfatherOf,secondAuntOf,boyFirstCousinOnceRemovedOf,39,164,0.002821792923811591,0.23780487804878048
"girlSecondCousinOf(B,A) ∧ nieceOf(B,C) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A←[girlSecondCousinOf]B→[nieceOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondUncleOf]C",girlSecondCousinOf,nieceOf,girlFirstCousinOnceRemovedOf,secondUncleOf,22,93,0.0015917806236885898,0.23655913978494625
"motherOf(B,A) ∧ auntOf(B,C) → boyCousinOf(A,C) ∧ girlCousinOf(C,A)","A←[motherOf]B→[auntOf]C ⇒ A↔[boyCousinOf,girlCousinOf]C",motherOf,auntOf,boyCousinOf,girlCousinOf,100,424,0.007235366471311772,0.2358490566037736
"daughterOf(B,A) ∧ granddaughterOf(B,C) → daughterOf(A,C) ∧ fatherOf(C,A)","A←[daughterOf]B→[granddaughterOf]C ⇒ A↔[daughterOf,fatherOf]C",daughterOf,granddaughterOf,daughterOf,fatherOf,95,403,0.006873598147746183,0.23573200992555832
"girlCousinOf(B,A) ∧ granddaughterOf(B,C) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A←[girlCousinOf]B→[granddaughterOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",girlCousinOf,granddaughterOf,grandsonOf,grandmotherOf,209,890,0.015121915925041604,0.2348314606741573
"girlCousinOf(B,A) ∧ granddaughterOf(B,C) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A←[girlCousinOf]B→[granddaughterOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",girlCousinOf,granddaughterOf,grandsonOf,grandfatherOf,209,890,0.015121915925041604,0.2348314606741573
"granddaughterOf(B,A) ∧ motherOf(B,C) → greatGrandmotherOf(A,C) ∧ greatGrandsonOf(C,A)","A←[granddaughterOf]B→[motherOf]C ⇒ A↔[greatGrandmotherOf,greatGrandsonOf]C",granddaughterOf,motherOf,greatGrandmotherOf,greatGrandsonOf,118,504,0.008537732436147891,0.23412698412698413
"granddaughterOf(B,A) ∧ motherOf(B,C) → greatGrandfatherOf(A,C) ∧ greatGrandsonOf(C,A)","A←[granddaughterOf]B→[motherOf]C ⇒ A↔[greatGrandfatherOf,greatGrandsonOf]C",granddaughterOf,motherOf,greatGrandfatherOf,greatGrandsonOf,118,504,0.008537732436147891,0.23412698412698413
"grandsonOf(B,A) ∧ fatherOf(B,C) → greatGrandmotherOf(A,C) ∧ greatGranddaughterOf(C,A)","A←[grandsonOf]B→[fatherOf]C ⇒ A↔[greatGrandmotherOf,greatGranddaughterOf]C",grandsonOf,fatherOf,greatGrandmotherOf,greatGranddaughterOf,138,590,0.009984805730410246,0.23389830508474577
"grandsonOf(B,A) ∧ fatherOf(B,C) → greatGrandfatherOf(A,C) ∧ greatGranddaughterOf(C,A)","A←[grandsonOf]B→[fatherOf]C ⇒ A↔[greatGrandfatherOf,greatGranddaughterOf]C",grandsonOf,fatherOf,greatGrandfatherOf,greatGranddaughterOf,138,590,0.009984805730410246,0.23389830508474577
"boyFirstCousinOnceRemovedOf(B,A) ∧ sonOf(B,C) → boyCousinOf(A,C) ∧ boyCousinOf(C,A)","A←[boyFirstCousinOnceRemovedOf]B→[sonOf]C ⇒ A↔[boyCousinOf,boyCousinOf]C",boyFirstCousinOnceRemovedOf,sonOf,boyCousinOf,boyCousinOf,21,90,0.001519426958975472,0.23333333333333334
"sisterOf(B,A) ∧ greatGranddaughterOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandmotherOf(C,A)","A←[sisterOf]B→[greatGranddaughterOf]C ⇒ A↔[greatGrandsonOf,greatGrandmotherOf]C",sisterOf,greatGranddaughterOf,greatGrandsonOf,greatGrandmotherOf,225,966,0.016279574560451485,0.2329192546583851
"sisterOf(B,A) ∧ greatGranddaughterOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[sisterOf]B→[greatGranddaughterOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",sisterOf,greatGranddaughterOf,greatGrandsonOf,greatGrandfatherOf,225,966,0.016279574560451485,0.2329192546583851
"uncleOf(B,A) ∧ grandsonOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandmotherOf(C,A)","A←[uncleOf]B→[grandsonOf]C ⇒ A↔[greatGrandsonOf,greatGrandmotherOf]C",uncleOf,grandsonOf,greatGrandsonOf,greatGrandmotherOf,237,1018,0.017147818537008898,0.23280943025540274
"uncleOf(B,A) ∧ grandsonOf(B,C) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A←[uncleOf]B→[grandsonOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",uncleOf,grandsonOf,greatGrandsonOf,greatGrandfatherOf,237,1018,0.017147818537008898,0.23280943025540274
"boyCousinOf(B,A) ∧ grandsonOf(B,C) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A←[boyCousinOf]B→[grandsonOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",boyCousinOf,grandsonOf,grandsonOf,grandmotherOf,182,782,0.013168366977787425,0.23273657289002558
"boyCousinOf(B,A) ∧ grandsonOf(B,C) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A←[boyCousinOf]B→[grandsonOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",boyCousinOf,grandsonOf,grandsonOf,grandfatherOf,182,782,0.013168366977787425,0.23273657289002558
"daughterOf(B,A) ∧ nieceOf(B,C) → sisterOf(A,C) ∧ brotherOf(C,A)","A←[daughterOf]B→[nieceOf]C ⇒ A↔[sisterOf,brotherOf]C",daughterOf,nieceOf,sisterOf,brotherOf,79,340,0.0057159395123363,0.2323529411764706
"boyCousinOf(B,A) ∧ nephewOf(B,C) → nieceOf(A,C) ∧ auntOf(C,A)","A←[boyCousinOf]B→[nephewOf]C ⇒ A↔[nieceOf,auntOf]C",boyCousinOf,nephewOf,nieceOf,auntOf,164,706,0.011866001012951306,0.23229461756373937
"brotherOf(B,A) ∧ brotherOf(B,C) → brotherOf(A,C) ∧ sisterOf(C,A)","A←[brotherOf]B→[brotherOf]C ⇒ A↔[brotherOf,sisterOf]C",brotherOf,brotherOf,brotherOf,sisterOf,100,431,0.007235366471311772,0.23201856148491878
"motherOf(B,A) ∧ motherOf(B,C) → brotherOf(A,C) ∧ sisterOf(C,A)","A←[motherOf]B→[motherOf]C ⇒ A↔[brotherOf,sisterOf]C",motherOf,motherOf,brotherOf,sisterOf,102,440,0.007380073800738007,0.2318181818181818
"fatherOf(B,A) ∧ fatherOf(B,C) → brotherOf(A,C) ∧ sisterOf(C,A)","A←[fatherOf]B→[fatherOf]C ⇒ A↔[brotherOf,sisterOf]C",fatherOf,fatherOf,brotherOf,sisterOf,102,440,0.007380073800738007,0.2318181818181818
"brotherOf(B,A) ∧ grandsonOf(B,C) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A←[brotherOf]B→[grandsonOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",brotherOf,grandsonOf,grandsonOf,grandmotherOf,312,1346,0.02257434339049273,0.23179791976225855
"brotherOf(B,A) ∧ grandsonOf(B,C) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A←[brotherOf]B→[grandsonOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",brotherOf,grandsonOf,grandsonOf,grandfatherOf,312,1346,0.02257434339049273,0.23179791976225855
"brotherOf(B,A) ∧ sonOf(B,C) → daughterOf(A,C) ∧ motherOf(C,A)","A←[brotherOf]B→[sonOf]C ⇒ A↔[daughterOf,motherOf]C",brotherOf,sonOf,daughterOf,motherOf,167,725,0.01208306200709066,0.2303448275862069
"girlFirstCousinOnceRemovedOf(B,A) ∧ daughterOf(B,C) → girlCousinOf(A,C) ∧ girlCousinOf(C,A)","A←[girlFirstCousinOnceRemovedOf]B→[daughterOf]C ⇒ A↔[girlCousinOf,girlCousinOf]C",girlFirstCousinOnceRemovedOf,daughterOf,girlCousinOf,girlCousinOf,26,113,0.0018811952825410606,0.23008849557522124
"granddaughterOf(B,A) ∧ auntOf(B,C) → greatGrandmotherOf(A,C) ∧ greatGranddaughterOf(C,A)","A←[granddaughterOf]B→[auntOf]C ⇒ A↔[greatGrandmotherOf,greatGranddaughterOf]C",granddaughterOf,auntOf,greatGrandmotherOf,greatGranddaughterOf,258,1124,0.01866724549598437,0.22953736654804271
