Rule,Pattern,Relation1,Relation2,Rel_A_to_C,Rel_C_to_A,Count,Body_Count,Support,Confidence
"grandfatherOf(A,B) ∧ greatAuntOf(C,B) → brotherOf(A,C) ∧ sisterOf(C,A)","A→[grandfatherOf]B←[greatAuntOf]C ⇒ A↔[brotherOf,sisterOf]C",grandfatherOf,greatAuntOf,brotherOf,sisterOf,90,90,0.006511829824180595,1.0
"greatGranddaughterOf(A,B) ∧ daughterOf(C,B) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A→[greatGranddaughterOf]B←[daughterOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",greatGranddaughterOf,daughterOf,granddaughterOf,grandmotherOf,89,89,0.006439476159467477,1.0
"girlFirstCousinOnceRemovedOf(A,B) ∧ brotherOf(C,B) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A→[girlFirstCousinOnceRemovedOf]B←[brotherOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondUncleOf]C",girlFirstCousinOnceRemovedOf,brotherOf,girlFirstCousinOnceRemovedOf,secondUncleOf,88,88,0.006367122494754359,1.0
"grandmotherOf(A,B) ∧ daughterOf(C,B) → greatGrandmotherOf(A,C) ∧ greatGranddaughterOf(C,A)","A→[grandmotherOf]B←[daughterOf]C ⇒ A↔[greatGrandmotherOf,greatGranddaughterOf]C",grandmotherOf,daughterOf,greatGrandmotherOf,greatGranddaughterOf,88,88,0.006367122494754359,1.0
"nieceOf(A,B) ∧ boyCousinOf(C,B) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A→[nieceOf]B←[boyCousinOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondUncleOf]C",nieceOf,boyCousinOf,girlFirstCousinOnceRemovedOf,secondUncleOf,88,88,0.006367122494754359,1.0
"boyFirstCousinOnceRemovedOf(A,B) ∧ grandfatherOf(C,B) → greatGrandsonOf(A,C) ∧ greatGrandfatherOf(C,A)","A→[boyFirstCousinOnceRemovedOf]B←[grandfatherOf]C ⇒ A↔[greatGrandsonOf,greatGrandfatherOf]C",boyFirstCousinOnceRemovedOf,grandfatherOf,greatGrandsonOf,greatGrandfatherOf,86,86,0.006222415165328124,1.0
"sisterOf(A,B) ∧ daughterOf(C,B) → auntOf(A,C) ∧ nieceOf(C,A)","A→[sisterOf]B←[daughterOf]C ⇒ A↔[auntOf,nieceOf]C",sisterOf,daughterOf,auntOf,nieceOf,85,85,0.006150061500615006,1.0
"greatAuntOf(A,B) ∧ fatherOf(C,B) → auntOf(A,C) ∧ nephewOf(C,A)","A→[greatAuntOf]B←[fatherOf]C ⇒ A↔[auntOf,nephewOf]C",greatAuntOf,fatherOf,auntOf,nephewOf,84,84,0.006077707835901888,1.0
"greatGrandfatherOf(A,B) ∧ greatUncleOf(C,B) → fatherOf(A,C) ∧ sonOf(C,A)","A→[greatGrandfatherOf]B←[greatUncleOf]C ⇒ A↔[fatherOf,sonOf]C",greatGrandfatherOf,greatUncleOf,fatherOf,sonOf,84,84,0.006077707835901888,1.0
"auntOf(A,B) ∧ secondUncleOf(C,B) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A→[auntOf]B←[secondUncleOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",auntOf,secondUncleOf,girlCousinOf,boyCousinOf,83,83,0.006005354171188771,1.0
"brotherOf(A,B) ∧ motherOf(C,B) → sonOf(A,C) ∧ motherOf(C,A)","A→[brotherOf]B←[motherOf]C ⇒ A↔[sonOf,motherOf]C",brotherOf,motherOf,sonOf,motherOf,83,83,0.006005354171188771,1.0
"secondAuntOf(A,B) ∧ greatGrandfatherOf(C,B) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A→[secondAuntOf]B←[greatGrandfatherOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",secondAuntOf,greatGrandfatherOf,granddaughterOf,grandfatherOf,82,82,0.005933000506475653,1.0
"sisterOf(A,B) ∧ motherOf(C,B) → daughterOf(A,C) ∧ motherOf(C,A)","A→[sisterOf]B←[motherOf]C ⇒ A↔[daughterOf,motherOf]C",sisterOf,motherOf,daughterOf,motherOf,81,81,0.005860646841762535,1.0
"greatGrandsonOf(A,B) ∧ daughterOf(C,B) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A→[greatGrandsonOf]B←[daughterOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",greatGrandsonOf,daughterOf,grandsonOf,grandmotherOf,80,80,0.005788293177049418,1.0
"grandmotherOf(A,B) ∧ motherOf(C,B) → motherOf(A,C) ∧ daughterOf(C,A)","A→[grandmotherOf]B←[motherOf]C ⇒ A↔[motherOf,daughterOf]C",grandmotherOf,motherOf,motherOf,daughterOf,80,80,0.005788293177049418,1.0
"greatGrandmotherOf(A,B) ∧ greatAuntOf(C,B) → motherOf(A,C) ∧ daughterOf(C,A)","A→[greatGrandmotherOf]B←[greatAuntOf]C ⇒ A↔[motherOf,daughterOf]C",greatGrandmotherOf,greatAuntOf,motherOf,daughterOf,80,80,0.005788293177049418,1.0
"greatUncleOf(A,B) ∧ greatAuntOf(C,B) → brotherOf(A,C) ∧ sisterOf(C,A)","A→[greatUncleOf]B←[greatAuntOf]C ⇒ A↔[brotherOf,sisterOf]C",greatUncleOf,greatAuntOf,brotherOf,sisterOf,80,80,0.005788293177049418,1.0
"girlFirstCousinOnceRemovedOf(A,B) ∧ grandfatherOf(C,B) → greatGranddaughterOf(A,C) ∧ greatGrandfatherOf(C,A)","A→[girlFirstCousinOnceRemovedOf]B←[grandfatherOf]C ⇒ A↔[greatGranddaughterOf,greatGrandfatherOf]C",girlFirstCousinOnceRemovedOf,grandfatherOf,greatGranddaughterOf,greatGrandfatherOf,79,79,0.0057159395123363,1.0
"nephewOf(A,B) ∧ boyCousinOf(C,B) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A→[nephewOf]B←[boyCousinOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondUncleOf]C",nephewOf,boyCousinOf,boyFirstCousinOnceRemovedOf,secondUncleOf,79,79,0.0057159395123363,1.0
"grandfatherOf(A,B) ∧ greatGrandmotherOf(C,B) → sonOf(A,C) ∧ motherOf(C,A)","A→[grandfatherOf]B←[greatGrandmotherOf]C ⇒ A↔[sonOf,motherOf]C",grandfatherOf,greatGrandmotherOf,sonOf,motherOf,78,78,0.005643585847623182,1.0
"fatherOf(A,B) ∧ uncleOf(C,B) → brotherOf(A,C) ∧ brotherOf(C,A)","A→[fatherOf]B←[uncleOf]C ⇒ A↔[brotherOf,brotherOf]C",fatherOf,uncleOf,brotherOf,brotherOf,78,78,0.005643585847623182,1.0
"secondUncleOf(A,B) ∧ uncleOf(C,B) → boyCousinOf(A,C) ∧ boyCousinOf(C,A)","A→[secondUncleOf]B←[uncleOf]C ⇒ A↔[boyCousinOf,boyCousinOf]C",secondUncleOf,uncleOf,boyCousinOf,boyCousinOf,76,76,0.005498878518196947,1.0
"greatAuntOf(A,B) ∧ greatUncleOf(C,B) → sisterOf(A,C) ∧ brotherOf(C,A)","A→[greatAuntOf]B←[greatUncleOf]C ⇒ A↔[sisterOf,brotherOf]C",greatAuntOf,greatUncleOf,sisterOf,brotherOf,75,75,0.005426524853483829,1.0
"girlCousinOf(A,B) ∧ nieceOf(C,B) → secondAuntOf(A,C) ∧ girlFirstCousinOnceRemovedOf(C,A)","A→[girlCousinOf]B←[nieceOf]C ⇒ A↔[secondAuntOf,girlFirstCousinOnceRemovedOf]C",girlCousinOf,nieceOf,secondAuntOf,girlFirstCousinOnceRemovedOf,74,74,0.005354171188770711,1.0
"grandfatherOf(A,B) ∧ girlFirstCousinOnceRemovedOf(C,B) → greatGrandfatherOf(A,C) ∧ greatGranddaughterOf(C,A)","A→[grandfatherOf]B←[girlFirstCousinOnceRemovedOf]C ⇒ A↔[greatGrandfatherOf,greatGranddaughterOf]C",grandfatherOf,girlFirstCousinOnceRemovedOf,greatGrandfatherOf,greatGranddaughterOf,74,74,0.005354171188770711,1.0
"fatherOf(A,B) ∧ grandmotherOf(C,B) → sonOf(A,C) ∧ motherOf(C,A)","A→[fatherOf]B←[grandmotherOf]C ⇒ A↔[sonOf,motherOf]C",fatherOf,grandmotherOf,sonOf,motherOf,73,73,0.005281817524057594,1.0
"daughterOf(A,B) ∧ nephewOf(C,B) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A→[daughterOf]B←[nephewOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",daughterOf,nephewOf,girlCousinOf,boyCousinOf,73,73,0.005281817524057594,1.0
"daughterOf(A,B) ∧ nieceOf(C,B) → girlCousinOf(A,C) ∧ girlCousinOf(C,A)","A→[daughterOf]B←[nieceOf]C ⇒ A↔[girlCousinOf,girlCousinOf]C",daughterOf,nieceOf,girlCousinOf,girlCousinOf,73,73,0.005281817524057594,1.0
"fatherOf(A,B) ∧ greatAuntOf(C,B) → nephewOf(A,C) ∧ auntOf(C,A)","A→[fatherOf]B←[greatAuntOf]C ⇒ A↔[nephewOf,auntOf]C",fatherOf,greatAuntOf,nephewOf,auntOf,73,73,0.005281817524057594,1.0
"boyFirstCousinOnceRemovedOf(A,B) ∧ brotherOf(C,B) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A→[boyFirstCousinOnceRemovedOf]B←[brotherOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondUncleOf]C",boyFirstCousinOnceRemovedOf,brotherOf,boyFirstCousinOnceRemovedOf,secondUncleOf,72,72,0.005209463859344476,1.0
"motherOf(A,B) ∧ greatAuntOf(C,B) → nieceOf(A,C) ∧ auntOf(C,A)","A→[motherOf]B←[greatAuntOf]C ⇒ A↔[nieceOf,auntOf]C",motherOf,greatAuntOf,nieceOf,auntOf,72,72,0.005209463859344476,1.0
"sonOf(A,B) ∧ brotherOf(C,B) → nephewOf(A,C) ∧ uncleOf(C,A)","A→[sonOf]B←[brotherOf]C ⇒ A↔[nephewOf,uncleOf]C",sonOf,brotherOf,nephewOf,uncleOf,72,72,0.005209463859344476,1.0
"boyCousinOf(A,B) ∧ fatherOf(C,B) → nephewOf(A,C) ∧ uncleOf(C,A)","A→[boyCousinOf]B←[fatherOf]C ⇒ A↔[nephewOf,uncleOf]C",boyCousinOf,fatherOf,nephewOf,uncleOf,72,72,0.005209463859344476,1.0
"secondAuntOf(A,B) ∧ auntOf(C,B) → girlCousinOf(A,C) ∧ girlCousinOf(C,A)","A→[secondAuntOf]B←[auntOf]C ⇒ A↔[girlCousinOf,girlCousinOf]C",secondAuntOf,auntOf,girlCousinOf,girlCousinOf,71,71,0.005137110194631358,1.0
"greatUncleOf(A,B) ∧ grandfatherOf(C,B) → brotherOf(A,C) ∧ brotherOf(C,A)","A→[greatUncleOf]B←[grandfatherOf]C ⇒ A↔[brotherOf,brotherOf]C",greatUncleOf,grandfatherOf,brotherOf,brotherOf,71,71,0.005137110194631358,1.0
"greatAuntOf(A,B) ∧ greatGrandmotherOf(C,B) → daughterOf(A,C) ∧ motherOf(C,A)","A→[greatAuntOf]B←[greatGrandmotherOf]C ⇒ A↔[daughterOf,motherOf]C",greatAuntOf,greatGrandmotherOf,daughterOf,motherOf,68,68,0.004920049200492005,1.0
"nieceOf(A,B) ∧ sonOf(C,B) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A→[nieceOf]B←[sonOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",nieceOf,sonOf,girlCousinOf,boyCousinOf,68,68,0.004920049200492005,1.0
"nieceOf(A,B) ∧ daughterOf(C,B) → girlCousinOf(A,C) ∧ girlCousinOf(C,A)","A→[nieceOf]B←[daughterOf]C ⇒ A↔[girlCousinOf,girlCousinOf]C",nieceOf,daughterOf,girlCousinOf,girlCousinOf,68,68,0.004920049200492005,1.0
"greatGrandmotherOf(A,B) ∧ grandfatherOf(C,B) → motherOf(A,C) ∧ sonOf(C,A)","A→[greatGrandmotherOf]B←[grandfatherOf]C ⇒ A↔[motherOf,sonOf]C",greatGrandmotherOf,grandfatherOf,motherOf,sonOf,68,68,0.004920049200492005,1.0
"auntOf(A,B) ∧ boyFirstCousinOnceRemovedOf(C,B) → grandmotherOf(A,C) ∧ grandsonOf(C,A)","A→[auntOf]B←[boyFirstCousinOnceRemovedOf]C ⇒ A↔[grandmotherOf,grandsonOf]C",auntOf,boyFirstCousinOnceRemovedOf,grandmotherOf,grandsonOf,67,67,0.004847695535778887,1.0
"grandmotherOf(A,B) ∧ greatAuntOf(C,B) → sisterOf(A,C) ∧ sisterOf(C,A)","A→[grandmotherOf]B←[greatAuntOf]C ⇒ A↔[sisterOf,sisterOf]C",grandmotherOf,greatAuntOf,sisterOf,sisterOf,66,66,0.00477534187106577,1.0
"fatherOf(A,B) ∧ girlCousinOf(C,B) → uncleOf(A,C) ∧ nieceOf(C,A)","A→[fatherOf]B←[girlCousinOf]C ⇒ A↔[uncleOf,nieceOf]C",fatherOf,girlCousinOf,uncleOf,nieceOf,66,66,0.00477534187106577,1.0
"greatGrandmotherOf(A,B) ∧ greatUncleOf(C,B) → motherOf(A,C) ∧ sonOf(C,A)","A→[greatGrandmotherOf]B←[greatUncleOf]C ⇒ A↔[motherOf,sonOf]C",greatGrandmotherOf,greatUncleOf,motherOf,sonOf,65,65,0.004702988206352652,1.0
"sisterOf(A,B) ∧ girlFirstCousinOnceRemovedOf(C,B) → secondAuntOf(A,C) ∧ girlFirstCousinOnceRemovedOf(C,A)","A→[sisterOf]B←[girlFirstCousinOnceRemovedOf]C ⇒ A↔[secondAuntOf,girlFirstCousinOnceRemovedOf]C",sisterOf,girlFirstCousinOnceRemovedOf,secondAuntOf,girlFirstCousinOnceRemovedOf,64,64,0.004630634541639534,1.0
"uncleOf(A,B) ∧ grandmotherOf(C,B) → sonOf(A,C) ∧ motherOf(C,A)","A→[uncleOf]B←[grandmotherOf]C ⇒ A↔[sonOf,motherOf]C",uncleOf,grandmotherOf,sonOf,motherOf,64,64,0.004630634541639534,1.0
"fatherOf(A,B) ∧ boyCousinOf(C,B) → uncleOf(A,C) ∧ nephewOf(C,A)","A→[fatherOf]B←[boyCousinOf]C ⇒ A↔[uncleOf,nephewOf]C",fatherOf,boyCousinOf,uncleOf,nephewOf,64,64,0.004630634541639534,1.0
"secondAuntOf(A,B) ∧ greatGrandmotherOf(C,B) → granddaughterOf(A,C) ∧ grandmotherOf(C,A)","A→[secondAuntOf]B←[greatGrandmotherOf]C ⇒ A↔[granddaughterOf,grandmotherOf]C",secondAuntOf,greatGrandmotherOf,granddaughterOf,grandmotherOf,63,63,0.0045582808769264165,1.0
"secondUncleOf(A,B) ∧ greatGrandfatherOf(C,B) → grandsonOf(A,C) ∧ grandfatherOf(C,A)","A→[secondUncleOf]B←[greatGrandfatherOf]C ⇒ A↔[grandsonOf,grandfatherOf]C",secondUncleOf,greatGrandfatherOf,grandsonOf,grandfatherOf,63,63,0.0045582808769264165,1.0
"grandmotherOf(A,B) ∧ greatUncleOf(C,B) → sisterOf(A,C) ∧ brotherOf(C,A)","A→[grandmotherOf]B←[greatUncleOf]C ⇒ A↔[sisterOf,brotherOf]C",grandmotherOf,greatUncleOf,sisterOf,brotherOf,63,63,0.0045582808769264165,1.0
"grandmotherOf(A,B) ∧ greatGrandmotherOf(C,B) → daughterOf(A,C) ∧ motherOf(C,A)","A→[grandmotherOf]B←[greatGrandmotherOf]C ⇒ A↔[daughterOf,motherOf]C",grandmotherOf,greatGrandmotherOf,daughterOf,motherOf,63,63,0.0045582808769264165,1.0
"brotherOf(A,B) ∧ sonOf(C,B) → uncleOf(A,C) ∧ nephewOf(C,A)","A→[brotherOf]B←[sonOf]C ⇒ A↔[uncleOf,nephewOf]C",brotherOf,sonOf,uncleOf,nephewOf,63,63,0.0045582808769264165,1.0
"sonOf(A,B) ∧ nephewOf(C,B) → boyCousinOf(A,C) ∧ boyCousinOf(C,A)","A→[sonOf]B←[nephewOf]C ⇒ A↔[boyCousinOf,boyCousinOf]C",sonOf,nephewOf,boyCousinOf,boyCousinOf,62,62,0.004485927212213299,1.0
"grandfatherOf(A,B) ∧ greatUncleOf(C,B) → brotherOf(A,C) ∧ brotherOf(C,A)","A→[grandfatherOf]B←[greatUncleOf]C ⇒ A↔[brotherOf,brotherOf]C",grandfatherOf,greatUncleOf,brotherOf,brotherOf,62,62,0.004485927212213299,1.0
"boyCousinOf(A,B) ∧ nephewOf(C,B) → secondUncleOf(A,C) ∧ boyFirstCousinOnceRemovedOf(C,A)","A→[boyCousinOf]B←[nephewOf]C ⇒ A↔[secondUncleOf,boyFirstCousinOnceRemovedOf]C",boyCousinOf,nephewOf,secondUncleOf,boyFirstCousinOnceRemovedOf,61,61,0.004413573547500181,1.0
"girlFirstCousinOnceRemovedOf(A,B) ∧ grandmotherOf(C,B) → greatGranddaughterOf(A,C) ∧ greatGrandmotherOf(C,A)","A→[girlFirstCousinOnceRemovedOf]B←[grandmotherOf]C ⇒ A↔[greatGranddaughterOf,greatGrandmotherOf]C",girlFirstCousinOnceRemovedOf,grandmotherOf,greatGranddaughterOf,greatGrandmotherOf,61,61,0.004413573547500181,1.0
"sonOf(A,B) ∧ nieceOf(C,B) → boyCousinOf(A,C) ∧ girlCousinOf(C,A)","A→[sonOf]B←[nieceOf]C ⇒ A↔[boyCousinOf,girlCousinOf]C",sonOf,nieceOf,boyCousinOf,girlCousinOf,61,61,0.004413573547500181,1.0
"greatGrandmotherOf(A,B) ∧ grandmotherOf(C,B) → motherOf(A,C) ∧ daughterOf(C,A)","A→[greatGrandmotherOf]B←[grandmotherOf]C ⇒ A↔[motherOf,daughterOf]C",greatGrandmotherOf,grandmotherOf,motherOf,daughterOf,60,60,0.004341219882787063,1.0
"sisterOf(A,B) ∧ boyFirstCousinOnceRemovedOf(C,B) → secondAuntOf(A,C) ∧ boyFirstCousinOnceRemovedOf(C,A)","A→[sisterOf]B←[boyFirstCousinOnceRemovedOf]C ⇒ A↔[secondAuntOf,boyFirstCousinOnceRemovedOf]C",sisterOf,boyFirstCousinOnceRemovedOf,secondAuntOf,boyFirstCousinOnceRemovedOf,59,59,0.004268866218073946,1.0
"greatUncleOf(A,B) ∧ fatherOf(C,B) → uncleOf(A,C) ∧ nephewOf(C,A)","A→[greatUncleOf]B←[fatherOf]C ⇒ A↔[uncleOf,nephewOf]C",greatUncleOf,fatherOf,uncleOf,nephewOf,59,59,0.004268866218073946,1.0
"motherOf(A,B) ∧ greatUncleOf(C,B) → nieceOf(A,C) ∧ uncleOf(C,A)","A→[motherOf]B←[greatUncleOf]C ⇒ A↔[nieceOf,uncleOf]C",motherOf,greatUncleOf,nieceOf,uncleOf,59,59,0.004268866218073946,1.0
"uncleOf(A,B) ∧ secondAuntOf(C,B) → boyCousinOf(A,C) ∧ girlCousinOf(C,A)","A→[uncleOf]B←[secondAuntOf]C ⇒ A↔[boyCousinOf,girlCousinOf]C",uncleOf,secondAuntOf,boyCousinOf,girlCousinOf,58,58,0.004196512553360828,1.0
"greatUncleOf(A,B) ∧ auntOf(C,B) → uncleOf(A,C) ∧ nieceOf(C,A)","A→[greatUncleOf]B←[auntOf]C ⇒ A↔[uncleOf,nieceOf]C",greatUncleOf,auntOf,uncleOf,nieceOf,57,57,0.00412415888864771,1.0
"motherOf(A,B) ∧ grandmotherOf(C,B) → daughterOf(A,C) ∧ motherOf(C,A)","A→[motherOf]B←[grandmotherOf]C ⇒ A↔[daughterOf,motherOf]C",motherOf,grandmotherOf,daughterOf,motherOf,57,57,0.00412415888864771,1.0
"nieceOf(A,B) ∧ girlCousinOf(C,B) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A→[nieceOf]B←[girlCousinOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondAuntOf]C",nieceOf,girlCousinOf,girlFirstCousinOnceRemovedOf,secondAuntOf,57,57,0.00412415888864771,1.0
"nephewOf(A,B) ∧ sonOf(C,B) → boyCousinOf(A,C) ∧ boyCousinOf(C,A)","A→[nephewOf]B←[sonOf]C ⇒ A↔[boyCousinOf,boyCousinOf]C",nephewOf,sonOf,boyCousinOf,boyCousinOf,56,56,0.0040518052239345926,1.0
"boyFirstCousinOnceRemovedOf(A,B) ∧ grandmotherOf(C,B) → greatGrandsonOf(A,C) ∧ greatGrandmotherOf(C,A)","A→[boyFirstCousinOnceRemovedOf]B←[grandmotherOf]C ⇒ A↔[greatGrandsonOf,greatGrandmotherOf]C",boyFirstCousinOnceRemovedOf,grandmotherOf,greatGrandsonOf,greatGrandmotherOf,55,55,0.003979451559221475,1.0
"secondAuntOf(A,B) ∧ grandfatherOf(C,B) → nieceOf(A,C) ∧ uncleOf(C,A)","A→[secondAuntOf]B←[grandfatherOf]C ⇒ A↔[nieceOf,uncleOf]C",secondAuntOf,grandfatherOf,nieceOf,uncleOf,54,54,0.003907097894508357,1.0
"nephewOf(A,B) ∧ daughterOf(C,B) → boyCousinOf(A,C) ∧ girlCousinOf(C,A)","A→[nephewOf]B←[daughterOf]C ⇒ A↔[boyCousinOf,girlCousinOf]C",nephewOf,daughterOf,boyCousinOf,girlCousinOf,54,54,0.003907097894508357,1.0
"greatUncleOf(A,B) ∧ greatUncleOf(C,B) → brotherOf(A,C) ∧ brotherOf(C,A)","A→[greatUncleOf]B←[greatUncleOf]C ⇒ A↔[brotherOf,brotherOf]C",greatUncleOf,greatUncleOf,brotherOf,brotherOf,54,54,0.003907097894508357,1.0
"secondAuntOf(A,B) ∧ fatherOf(C,B) → girlCousinOf(A,C) ∧ boyCousinOf(C,A)","A→[secondAuntOf]B←[fatherOf]C ⇒ A↔[girlCousinOf,boyCousinOf]C",secondAuntOf,fatherOf,girlCousinOf,boyCousinOf,53,53,0.003834744229795239,1.0
"greatUncleOf(A,B) ∧ motherOf(C,B) → uncleOf(A,C) ∧ nieceOf(C,A)","A→[greatUncleOf]B←[motherOf]C ⇒ A↔[uncleOf,nieceOf]C",greatUncleOf,motherOf,uncleOf,nieceOf,53,53,0.003834744229795239,1.0
"grandsonOf(A,B) ∧ nieceOf(C,B) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A→[grandsonOf]B←[nieceOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondAuntOf]C",grandsonOf,nieceOf,boyFirstCousinOnceRemovedOf,secondAuntOf,53,53,0.003834744229795239,1.0
"girlFirstCousinOnceRemovedOf(A,B) ∧ uncleOf(C,B) → granddaughterOf(A,C) ∧ grandfatherOf(C,A)","A→[girlFirstCousinOnceRemovedOf]B←[uncleOf]C ⇒ A↔[granddaughterOf,grandfatherOf]C",girlFirstCousinOnceRemovedOf,uncleOf,granddaughterOf,grandfatherOf,52,52,0.0037623905650821213,1.0
"granddaughterOf(A,B) ∧ nephewOf(C,B) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A→[granddaughterOf]B←[nephewOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondUncleOf]C",granddaughterOf,nephewOf,girlFirstCousinOnceRemovedOf,secondUncleOf,51,51,0.0036900369003690036,1.0
"greatAuntOf(A,B) ∧ motherOf(C,B) → auntOf(A,C) ∧ nieceOf(C,A)","A→[greatAuntOf]B←[motherOf]C ⇒ A↔[auntOf,nieceOf]C",greatAuntOf,motherOf,auntOf,nieceOf,49,49,0.003545329570942768,1.0
"uncleOf(A,B) ∧ secondUncleOf(C,B) → boyCousinOf(A,C) ∧ boyCousinOf(C,A)","A→[uncleOf]B←[secondUncleOf]C ⇒ A↔[boyCousinOf,boyCousinOf]C",uncleOf,secondUncleOf,boyCousinOf,boyCousinOf,49,49,0.003545329570942768,1.0
"boyFirstCousinOnceRemovedOf(A,B) ∧ auntOf(C,B) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A→[boyFirstCousinOnceRemovedOf]B←[auntOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",boyFirstCousinOnceRemovedOf,auntOf,grandsonOf,grandmotherOf,47,47,0.0034006222415165327,1.0
"uncleOf(A,B) ∧ girlFirstCousinOnceRemovedOf(C,B) → grandfatherOf(A,C) ∧ granddaughterOf(C,A)","A→[uncleOf]B←[girlFirstCousinOnceRemovedOf]C ⇒ A↔[grandfatherOf,granddaughterOf]C",uncleOf,girlFirstCousinOnceRemovedOf,grandfatherOf,granddaughterOf,46,46,0.003328268576803415,1.0
"secondUncleOf(A,B) ∧ greatGrandmotherOf(C,B) → grandsonOf(A,C) ∧ grandmotherOf(C,A)","A→[secondUncleOf]B←[greatGrandmotherOf]C ⇒ A↔[grandsonOf,grandmotherOf]C",secondUncleOf,greatGrandmotherOf,grandsonOf,grandmotherOf,46,46,0.003328268576803415,1.0
"greatAuntOf(A,B) ∧ grandmotherOf(C,B) → sisterOf(A,C) ∧ sisterOf(C,A)","A→[greatAuntOf]B←[grandmotherOf]C ⇒ A↔[sisterOf,sisterOf]C",greatAuntOf,grandmotherOf,sisterOf,sisterOf,46,46,0.003328268576803415,1.0
"grandmotherOf(A,B) ∧ secondUncleOf(C,B) → auntOf(A,C) ∧ nephewOf(C,A)","A→[grandmotherOf]B←[secondUncleOf]C ⇒ A↔[auntOf,nephewOf]C",grandmotherOf,secondUncleOf,auntOf,nephewOf,46,46,0.003328268576803415,1.0
"secondUncleOf(A,B) ∧ auntOf(C,B) → boyCousinOf(A,C) ∧ girlCousinOf(C,A)","A→[secondUncleOf]B←[auntOf]C ⇒ A↔[boyCousinOf,girlCousinOf]C",secondUncleOf,auntOf,boyCousinOf,girlCousinOf,46,46,0.003328268576803415,1.0
"girlFirstCousinOnceRemovedOf(A,B) ∧ sisterOf(C,B) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondAuntOf(C,A)","A→[girlFirstCousinOnceRemovedOf]B←[sisterOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondAuntOf]C",girlFirstCousinOnceRemovedOf,sisterOf,girlFirstCousinOnceRemovedOf,secondAuntOf,46,46,0.003328268576803415,1.0
"girlSecondCousinOf(A,B) ∧ uncleOf(C,B) → girlFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A→[girlSecondCousinOf]B←[uncleOf]C ⇒ A↔[girlFirstCousinOnceRemovedOf,secondUncleOf]C",girlSecondCousinOf,uncleOf,girlFirstCousinOnceRemovedOf,secondUncleOf,46,46,0.003328268576803415,1.0
"nieceOf(A,B) ∧ grandsonOf(C,B) → secondAuntOf(A,C) ∧ boyFirstCousinOnceRemovedOf(C,A)","A→[nieceOf]B←[grandsonOf]C ⇒ A↔[secondAuntOf,boyFirstCousinOnceRemovedOf]C",nieceOf,grandsonOf,secondAuntOf,boyFirstCousinOnceRemovedOf,45,45,0.0032559149120902973,1.0
"grandsonOf(A,B) ∧ nephewOf(C,B) → boyFirstCousinOnceRemovedOf(A,C) ∧ secondUncleOf(C,A)","A→[grandsonOf]B←[nephewOf]C ⇒ A↔[boyFirstCousinOnceRemovedOf,secondUncleOf]C",grandsonOf,nephewOf,boyFirstCousinOnceRemovedOf,secondUncleOf,45,45,0.0032559149120902973,1.0
"motherOf(A,B) ∧ secondAuntOf(C,B) → girlCousinOf(A,C) ∧ girlCousinOf(C,A)","A→[motherOf]B←[secondAuntOf]C ⇒ A↔[girlCousinOf,girlCousinOf]C",motherOf,secondAuntOf,girlCousinOf,girlCousinOf,45,45,0.0032559149120902973,1.0
"grandmotherOf(A,B) ∧ secondAuntOf(C,B) → auntOf(A,C) ∧ nieceOf(C,A)","A→[grandmotherOf]B←[secondAuntOf]C ⇒ A↔[auntOf,nieceOf]C",grandmotherOf,secondAuntOf,auntOf,nieceOf,45,45,0.0032559149120902973,1.0
